timestamp,gx,gy,gz,ax,ay,az
611087531.0,10.0,26.0,-34.0,-1778.0,-354.0,16774.0
611097531.0,-11.0,4.0,-36.0,-1823.0,-337.0,16787.0
611107531.0,-17.0,-36.0,-50.0,-1790.0,-390.0,16807.0
611117531.0,-24.0,-55.0,-51.0,-1773.0,-396.0,16808.0
611127531.0,-20.0,-76.0,-55.0,-1683.0,-433.0,16804.0
611137531.0,-9.0,-69.0,-66.0,-1707.0,-392.0,16711.0
611147531.0,-9.0,-46.0,-80.0,-1722.0,-379.0,16736.0
611157531.0,-22.0,-56.0,-86.0,-1689.0,-409.0,16758.0
611167531.0,-14.0,-43.0,-93.0,-1691.0,-431.0,16781.0
611177531.0,3.0,-19.0,-100.0,-1700.0,-414.0,16759.0
611187531.0,12.0,-8.0,-103.0,-1673.0,-441.0,16826.0
611197531.0,32.0,-6.0,-94.0,-1685.0,-403.0,16812.0
611207531.0,25.0,-3.0,-86.0,-1755.0,-310.0,16793.0
611217531.0,-14.0,-17.0,-83.0,-1799.0,-301.0,16754.0
611227531.0,-41.0,-28.0,-81.0,-1753.0,-354.0,16775.0
611237531.0,-53.0,-39.0,-74.0,-1749.0,-404.0,16781.0
611247531.0,-52.0,-47.0,-50.0,-1647.0,-514.0,16737.0
611257531.0,-14.0,-14.0,-37.0,-1633.0,-526.0,16745.0
611267531.0,25.0,-1.0,-26.0,-1795.0,-330.0,16788.0
611277531.0,-8.0,-23.0,-29.0,-1759.0,-341.0,16823.0
611287531.0,-28.0,-47.0,-40.0,-1737.0,-346.0,16766.0
611297531.0,-45.0,-45.0,-53.0,-1698.0,-368.0,16740.0
611307531.0,-47.0,-36.0,-67.0,-1669.0,-390.0,16767.0
611317531.0,-42.0,-46.0,-72.0,-1725.0,-450.0,16764.0
611327531.0,-23.0,-30.0,-77.0,-1706.0,-490.0,16788.0
611337531.0,-7.0,-17.0,-77.0,-1684.0,-426.0,16771.0
611347531.0,2.0,-17.0,-70.0,-1734.0,-342.0,16788.0
611357531.0,-5.0,-12.0,-70.0,-1714.0,-373.0,16791.0
611367531.0,-15.0,-10.0,-72.0,-1724.0,-403.0,16785.0
611377531.0,-18.0,-19.0,-64.0,-1691.0,-407.0,16760.0
611387531.0,-29.0,-15.0,-55.0,-1620.0,-442.0,16723.0
611397531.0,-23.0,-3.0,-43.0,-1664.0,-468.0,16740.0
611407531.0,-2.0,16.0,-30.0,-1717.0,-523.0,16809.0
611417531.0,27.0,26.0,-31.0,-1786.0,-447.0,16772.0
611427531.0,44.0,7.0,-33.0,-1806.0,-423.0,16766.0
611437531.0,55.0,-12.0,-36.0,-1816.0,-361.0,16756.0
611447531.0,40.0,-41.0,-53.0,-1773.0,-283.0,16744.0
611457531.0,-3.0,-95.0,-75.0,-1684.0,-289.0,16757.0
611467531.0,-40.0,-88.0,-92.0,-1697.0,-348.0,16779.0
611477531.0,-76.0,-73.0,-105.0,-1660.0,-324.0,16725.0
611487531.0,-92.0,-91.0,-103.0,-1601.0,-411.0,16812.0
611497531.0,-85.0,-43.0,-85.0,-1546.0,-484.0,16759.0
