timestamp,gx,gy,gz,ax,ay,az
1531347531.0,-1904.0,-3400.0,-533.0,-1244.0,-1506.0,17294.0
1531357531.0,-2133.0,-3312.0,-798.0,-912.0,-1791.0,17754.0
1531367531.0,-2155.0,-3072.0,-1076.0,-198.0,-2404.0,18025.0
1531377531.0,-1987.0,-2270.0,-1325.0,-557.0,-2313.0,17629.0
1531387531.0,-1867.0,-1682.0,-1661.0,-750.0,-2208.0,17570.0
1531397531.0,-1743.0,-1570.0,-1911.0,-892.0,-2202.0,17622.0
1531407531.0,-1255.0,-1637.0,-2085.0,-1017.0,-1811.0,18134.0
1531417531.0,-882.0,-1747.0,-2080.0,-1362.0,-1166.0,18279.0
1531427531.0,-1005.0,-1849.0,-2009.0,-1903.0,-1597.0,17946.0
1531437531.0,-713.0,-2332.0,-1988.0,-2284.0,-1147.0,17965.0
1531447531.0,-1038.0,-3319.0,-2174.0,-2480.0,-1030.0,17625.0
1531457531.0,-1183.0,-4566.0,-2520.0,-2131.0,-1333.0,17084.0
1531467531.0,-824.0,-5699.0,-2702.0,-2012.0,-1238.0,16345.0
1531477531.0,-618.0,-6989.0,-2746.0,-1574.0,-1369.0,15332.0
1531487531.0,-432.0,-8053.0,-2796.0,-1197.0,-1291.0,14806.0
1531497531.0,-172.0,-8883.0,-2794.0,-368.0,-1362.0,14081.0
1531507531.0,752.0,-9386.0,-2325.0,1522.0,-895.0,12016.0
1531517531.0,1227.0,-8692.0,-1886.0,2465.0,-839.0,10622.0
1531527531.0,1770.0,-7412.0,-1374.0,3330.0,-949.0,9056.0
1531537531.0,2717.0,-5729.0,-778.0,4394.0,-719.0,7394.0
1531547531.0,3935.0,-3736.0,65.0,5822.0,164.0,5605.0
1531557531.0,4890.0,-1186.0,1338.0,7306.0,1348.0,4153.0
1531567531.0,5583.0,2033.0,2936.0,8032.0,2065.0,2381.0
1531577531.0,7126.0,5461.0,4574.0,8240.0,1601.0,1506.0
